Item,Price,Reviews,Image
"APPLE iPhone 12 (Black, 256 GB)","₹65,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
"APPLE iPhone 14 ((PRODUCT)RED, 512 GB)","₹1,09,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)","₹99,990",4.7,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/c/u/e/iphone-11-pro-512-u-mwcd2hn-a-apple-0-original-imafkg2fhzhzzh5s.jpeg?q=70
"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/c/g/4/iphone-13-pro-max-mlll3hn-a-apple-original-imag6vpg3r7dyvhm.jpeg?q=70
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)","₹1,09,990",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/u/c/d/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrzxg3nggd.jpeg?q=70
"APPLE iPhone 12 (White, 256 GB)","₹65,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)","₹1,49,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/e/l/i/iphone-13-pro-mlw03hn-a-apple-original-imag6vpb2kj4dcp5.jpeg?q=70
"APPLE iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹1,19,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70
"APPLE iPhone 14 (Midnight, 512 GB)","₹1,09,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","₹1,79,900",4.6,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
"APPLE iPhone 14 (Purple, 512 GB)","₹1,09,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
"APPLE iPhone 13 Pro (Graphite, 512 GB)","₹1,49,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/m/t/r/iphone-13-pro-mlvv3hn-a-apple-original-imag6vpb7zg6bnvb.jpeg?q=70
"APPLE iPhone 14 Plus (Starlight, 512 GB)","₹1,19,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70
